Result for strategy Quickie
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|  TFUEL/USDT |     60 |           0.12 |           7.19 |             7.199 |           0.72 |         13:50:00 |     57 |       0 |        3 |
|  THETA/USDT |     58 |          -0.58 |         -33.72 |           -33.753 |          -3.38 |         15:48:00 |     52 |       0 |        6 |
|   TOMO/USDT |     54 |           0.72 |          38.73 |            38.767 |           3.88 |         12:56:00 |     52 |       0 |        2 |
|    TRB/USDT |     23 |           0.28 |           6.54 |             6.547 |           0.65 |         13:38:00 |     22 |       0 |        1 |
|   TROY/USDT |     75 |           0.77 |          58.09 |            58.148 |           5.81 |         16:42:00 |     73 |       0 |        2 |
|    TRU/USDT |     21 |           0.38 |           8.02 |             8.027 |           0.80 |          8:51:00 |     20 |       0 |        1 |
|    TRX/USDT |     27 |           0.20 |           5.47 |             5.477 |           0.55 |  1 day, 20:35:00 |     26 |       0 |        1 |
|    TWT/USDT |     21 |           1.50 |          31.42 |            31.450 |           3.15 |          2:49:00 |     21 |       0 |        0 |
|    UMA/USDT |     34 |          -0.03 |          -1.15 |            -1.149 |          -0.11 |         17:35:00 |     32 |       0 |        2 |
|   UNFI/USDT |     38 |          -1.32 |         -50.04 |           -50.088 |          -5.01 |         13:36:00 |     34 |       0 |        4 |
|    UNI/USDT |     18 |           1.51 |          27.17 |            27.196 |           2.72 |          5:54:00 |     18 |       0 |        0 |
|    UTK/USDT |     44 |           1.04 |          45.60 |            45.646 |           4.56 |          7:52:00 |     43 |       0 |        1 |
|    VET/USDT |     34 |           0.37 |          12.71 |            12.722 |           1.27 |          8:34:00 |     33 |       0 |        1 |
|   VITE/USDT |     73 |           1.14 |          83.27 |            83.357 |           8.34 |         10:51:00 |     72 |       0 |        1 |
|   VTHO/USDT |     50 |           0.30 |          14.96 |            14.974 |           1.50 |         15:23:00 |     47 |       0 |        3 |
|    WAN/USDT |     60 |           1.08 |          64.53 |            64.597 |           6.46 |         18:16:00 |     59 |       0 |        1 |
|  WAVES/USDT |     43 |          -0.07 |          -3.06 |            -3.058 |          -0.31 |         10:48:00 |     41 |       0 |        2 |
|    WIN/USDT |     59 |           0.35 |          20.68 |            20.699 |           2.07 |  1 day, 14:58:00 |     57 |       0 |        2 |
|   WING/USDT |     35 |          -0.01 |          -0.19 |            -0.192 |          -0.02 |          7:33:00 |     33 |       0 |        2 |
|   WNXM/USDT |     42 |          -0.42 |         -17.53 |           -17.551 |          -1.76 |         14:10:00 |     39 |       0 |        3 |
|    WRX/USDT |     51 |           0.67 |          34.06 |            34.097 |           3.41 |         22:55:00 |     50 |       0 |        1 |
|    WTC/USDT |     31 |           1.27 |          39.36 |            39.401 |           3.94 |   1 day, 6:05:00 |     31 |       0 |        0 |
|    XEM/USDT |     26 |           0.63 |          16.26 |            16.274 |           1.63 |          7:41:00 |     25 |       0 |        1 |
|    XLM/USDT |     17 |          -2.04 |         -34.63 |           -34.667 |          -3.47 | 2 days, 11:27:00 |     15 |       0 |        2 |
|    XMR/USDT |     33 |           0.26 |           8.50 |             8.508 |           0.85 |   1 day, 5:49:00 |     32 |       0 |        1 |
|    XRP/USDT |     33 |           0.96 |          31.68 |            31.712 |           3.17 |  1 day, 15:21:00 |     32 |       0 |        1 |
|    XTZ/USDT |     16 |           1.32 |          21.05 |            21.072 |           2.11 |   1 day, 4:54:00 |     16 |       0 |        0 |
|    XVS/USDT |     44 |          -0.34 |         -14.82 |           -14.839 |          -1.48 |         12:11:00 |     41 |       0 |        3 |
|    YFI/USDT |     38 |          -0.00 |          -0.03 |            -0.027 |          -0.00 |         13:00:00 |     36 |       0 |        2 |
|   YFII/USDT |     24 |           1.67 |          39.97 |            40.012 |           4.00 |          4:19:00 |     24 |       0 |        0 |
|    ZEC/USDT |     24 |          -1.68 |         -40.33 |           -40.368 |          -4.04 |  3 days, 0:44:00 |     20 |       0 |        4 |
|    ZEN/USDT |     46 |           0.95 |          43.64 |            43.679 |           4.37 |         11:10:00 |     45 |       0 |        1 |
|    ZIL/USDT |     57 |           1.40 |          79.89 |            79.967 |           8.00 |         11:59:00 |     57 |       0 |        0 |
|    ZRX/USDT |     32 |           0.67 |          21.43 |            21.451 |           2.15 |  2 days, 6:50:00 |     31 |       0 |        1 |
|       TOTAL |   9111 |           0.55 |        5011.80 |          5016.812 |         501.68 |         18:32:00 |   8760 |       0 |      351 |
====================================================== SELL REASON STATS =======================================================
|   Sell Reason |   Sells |   Wins |   Draws |   Losses |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------+---------+----------+----------------+----------------+-------------------+----------------|
|           roi |    8751 |   8751 |       0 |        0 |           1.41 |       12306    |         12318.3   |         492.24 |
|     stop_loss |     266 |      0 |       0 |      266 |         -25.15 |       -6689.86 |         -6696.55  |        -267.59 |
|   sell_signal |      74 |      7 |       0 |       67 |          -5.92 |        -438.05 |          -438.488 |         -17.52 |
|    force_sell |      20 |      2 |       0 |       18 |          -8.32 |        -166.33 |          -166.496 |          -6.65 |
=========================================================== LEFT OPEN TRADES REPORT ============================================================
