Result for strategy ADXMomentum
============================================================== BACKTESTING REPORT =============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Wins |   Draws |   Losses |
|   WING/USDT |     37 |           0.71 |          26.15 |            26.181 |           2.62 |         2:42:00 |     36 |       0 |        1 |
|   WNXM/USDT |     49 |           0.10 |           4.80 |             4.802 |           0.48 |         4:12:00 |     46 |       0 |        3 |
|    WRX/USDT |     41 |          -0.61 |         -24.82 |           -24.846 |          -2.48 |        13:42:00 |     35 |       0 |        6 |
|    WTC/USDT |     52 |          -0.34 |         -17.53 |           -17.548 |          -1.75 |        10:13:00 |     44 |       0 |        8 |
|    XEM/USDT |     22 |           0.16 |           3.53 |             3.535 |           0.35 |         3:46:00 |     21 |       0 |        1 |
|    XLM/USDT |     43 |           0.25 |          10.85 |            10.863 |           1.09 |         6:13:00 |     39 |       0 |        4 |
|    XMR/USDT |     41 |          -0.44 |         -17.91 |           -17.932 |          -1.79 |         7:00:00 |     35 |       0 |        6 |
|    XRP/USDT |     41 |           0.70 |          28.79 |            28.817 |           2.88 |         7:12:00 |     39 |       0 |        2 |
|    XTZ/USDT |     34 |           0.29 |           9.69 |             9.703 |           0.97 |         4:05:00 |     31 |       0 |        3 |
|    XVS/USDT |     57 |           0.08 |           4.65 |             4.650 |           0.46 |         4:24:00 |     55 |       0 |        2 |
|    YFI/USDT |     44 |           0.40 |          17.81 |            17.825 |           1.78 |         3:01:00 |     43 |       0 |        1 |
|   YFII/USDT |      8 |           1.00 |           7.99 |             8.000 |           0.80 |         3:22:00 |      8 |       0 |        0 |
|    ZEC/USDT |     50 |          -0.07 |          -3.45 |            -3.457 |          -0.35 |         7:01:00 |     45 |       0 |        5 |
|    ZEN/USDT |     66 |          -0.50 |         -32.99 |           -33.021 |          -3.30 |         5:51:00 |     58 |       0 |        8 |
|    ZIL/USDT |     69 |           0.29 |          19.96 |            19.979 |           2.00 |         5:18:00 |     64 |       0 |        5 |
|    ZRX/USDT |     59 |           0.03 |           2.03 |             2.032 |           0.20 |         7:43:00 |     54 |       0 |        5 |
|       TOTAL |  15611 |           0.10 |        1519.47 |          1520.985 |         152.10 |         6:18:00 |  14543 |       0 |     1068 |
====================================================== SELL REASON STATS =======================================================
|   Sell Reason |   Sells |   Wins |   Draws |   Losses |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------+---------+----------+----------------+----------------+-------------------+----------------|
|           roi |   14543 |  14543 |       0 |        0 |           1    |       14529.2  |         14543.7   |         581.17 |
|   sell_signal |     901 |      0 |       0 |      901 |         -10.19 |       -9184.79 |         -9193.97  |        -367.39 |
|     stop_loss |     150 |      0 |       0 |      150 |         -25.15 |       -3772.48 |         -3776.25  |        -150.9  |
|    force_sell |      17 |      0 |       0 |       17 |          -3.09 |         -52.47 |           -52.526 |          -2.1  |
========================================================== LEFT OPEN TRADES REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Wins |   Draws |   Losses |
|-------------+--------+----------------+----------------+-------------------+----------------+----------------+--------+---------+----------|
