Result for strategy BbandRsi
=============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Wins |   Draws |   Losses |
|   LINA/USDT |      1 |         -25.15 |         -25.15 |           -25.175 |          -2.52 |   3 days, 6:00:00 |      0 |       0 |        1 |
|   LINK/USDT |     12 |           0.85 |          10.16 |            10.172 |           1.02 |   4 days, 1:50:00 |      8 |       0 |        4 |
|    LIT/USDT |      1 |           9.99 |           9.99 |            10.000 |           1.00 |           5:00:00 |      1 |       0 |        0 |
|    LRC/USDT |     10 |           1.44 |          14.40 |            14.419 |           1.44 |  2 days, 12:12:00 |      7 |       0 |        3 |
|    LSK/USDT |      5 |           3.43 |          17.14 |            17.161 |           1.72 |  4 days, 21:24:00 |      3 |       0 |        2 |
|    LTC/USDT |      8 |          -3.53 |         -28.23 |           -28.261 |          -2.83 |   4 days, 1:52:00 |      3 |       0 |        5 |
|    LTO/USDT |     10 |           3.13 |          31.29 |            31.320 |           3.13 |   1 day, 19:36:00 |      8 |       0 |        2 |
|   LUNA/USDT |      9 |           0.15 |           1.36 |             1.359 |           0.14 |  3 days, 14:40:00 |      6 |       0 |        3 |
|   MANA/USDT |      3 |           6.41 |          19.24 |            19.256 |           1.93 |   1 day, 16:00:00 |      2 |       0 |        1 |
|  MATIC/USDT |      5 |           1.07 |           5.33 |             5.335 |           0.53 |  4 days, 23:36:00 |      3 |       0 |        2 |
|    MBL/USDT |     14 |           1.89 |          26.49 |            26.515 |           2.65 |   4 days, 7:26:00 |     10 |       0 |        4 |
|    MDT/USDT |     11 |           6.38 |          70.18 |            70.253 |           7.03 |  2 days, 17:38:00 |     10 |       0 |        1 |
|    MFT/USDT |     10 |           3.03 |          30.28 |            30.307 |           3.03 |  2 days, 20:42:00 |      8 |       0 |        2 |
|   MITH/USDT |      6 |           0.81 |           4.85 |             4.851 |           0.49 |   2 days, 1:20:00 |      4 |       0 |        2 |
|    MKR/USDT |     10 |           3.95 |          39.49 |            39.533 |           3.95 |   4 days, 6:48:00 |      8 |       0 |        2 |
|    MTL/USDT |      8 |           3.83 |          30.68 |            30.710 |           3.07 |  5 days, 11:52:00 |      7 |       0 |        1 |
|   NANO/USDT |      5 |           3.03 |          15.16 |            15.171 |           1.52 |  4 days, 23:24:00 |      3 |       0 |        2 |
|    NBS/USDT |      7 |           1.26 |           8.83 |             8.835 |           0.88 |   3 days, 7:17:00 |      5 |       0 |        2 |
|   NEAR/USDT |      1 |          -9.13 |          -9.13 |            -9.139 |          -0.91 |  3 days, 14:00:00 |      0 |       0 |        1 |
|    NEO/USDT |      4 |           4.55 |          18.20 |            18.217 |           1.82 |  4 days, 21:00:00 |      4 |       0 |        0 |
|    NKN/USDT |      6 |           1.59 |           9.53 |             9.536 |           0.95 |   4 days, 1:00:00 |      4 |       0 |        2 |
|    NMR/USDT |      2 |           9.99 |          19.98 |            20.000 |           2.00 |    1 day, 2:30:00 |      2 |       0 |        0 |
|   NPXS/USDT |      3 |          -7.03 |         -21.10 |           -21.117 |          -2.11 |  11 days, 5:40:00 |      1 |       0 |        2 |
|   NULS/USDT |      7 |           0.96 |           6.74 |             6.742 |           0.67 |  2 days, 19:34:00 |      5 |       0 |        2 |
|  OCEAN/USDT |      6 |          -0.05 |          -0.29 |            -0.290 |          -0.03 |  3 days, 17:20:00 |      4 |       0 |        2 |
|     OG/USDT |      6 |          -1.72 |         -10.34 |           -10.350 |          -1.04 |   1 day, 22:20:00 |      4 |       0 |        2 |
|    OGN/USDT |      8 |           1.39 |          11.11 |            11.123 |           1.11 |   4 days, 7:45:00 |      5 |       0 |        3 |
|     OM/USDT |      1 |           9.99 |           9.99 |            10.000 |           1.00 |          10:00:00 |      1 |       0 |        0 |
|    OMG/USDT |      8 |           7.25 |          58.03 |            58.083 |           5.81 |   2 days, 0:52:00 |      8 |       0 |        0 |
|    ONE/USDT |     12 |           4.92 |          59.03 |            59.094 |           5.91 |   1 day, 22:40:00 |      9 |       0 |        3 |
|    ONG/USDT |     11 |           1.46 |          16.10 |            16.119 |           1.61 |   3 days, 7:33:00 |      8 |       0 |        3 |
|    ONT/USDT |      6 |          -4.45 |         -26.70 |           -26.724 |          -2.67 |  6 days, 16:20:00 |      3 |       0 |        3 |
|    ORN/USDT |      7 |           6.02 |          42.17 |            42.213 |           4.22 |   1 day, 17:17:00 |      6 |       0 |        1 |
|    OXT/USDT |      2 |           9.99 |          19.98 |            20.000 |           2.00 |          17:00:00 |      2 |       0 |        0 |
|   PAXG/USDT |      6 |          -1.34 |          -8.06 |            -8.073 |          -0.81 | 12 days, 14:20:00 |      1 |       0 |        5 |
|   PERL/USDT |     10 |           5.36 |          53.60 |            53.654 |           5.37 |   2 days, 1:18:00 |      9 |       0 |        1 |
|   PERP/USDT |      1 |           9.99 |           9.99 |            10.000 |           1.00 |           8:00:00 |      1 |       0 |        0 |
|    PNT/USDT |      8 |          -9.54 |         -76.30 |           -76.379 |          -7.64 |  3 days, 23:08:00 |      3 |       0 |        5 |
|   POND/USDT |      1 |           9.99 |           9.99 |            10.000 |           1.00 |          21:00:00 |      1 |       0 |        0 |
|    PSG/USDT |      4 |           9.99 |          39.96 |            40.000 |           4.00 |  3 days, 18:00:00 |      4 |       0 |        0 |
|   QTUM/USDT |      7 |           2.67 |          18.69 |            18.704 |           1.87 |   4 days, 3:09:00 |      6 |       0 |        1 |
|   RAMP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |      0 |       0 |        0 |
|   REEF/USDT |      3 |          -1.72 |          -5.17 |            -5.175 |          -0.52 |   3 days, 7:20:00 |      2 |       0 |        1 |
|    REN/USDT |      6 |           7.40 |          44.40 |            44.448 |           4.44 |   3 days, 7:00:00 |      6 |       0 |        0 |
|    REP/USDT |      5 |           0.72 |           3.59 |             3.589 |           0.36 |   1 day, 21:36:00 |      4 |       0 |        1 |
|    RIF/USDT |      2 |          -9.89 |         -19.78 |           -19.802 |          -1.98 |   3 days, 4:00:00 |      1 |       0 |        1 |
|    RLC/USDT |      5 |          -0.01 |          -0.05 |            -0.052 |          -0.01 |  2 days, 20:36:00 |      4 |       0 |        1 |
|   ROSE/USDT |      1 |           9.99 |           9.99 |            10.000 |           1.00 |          10:00:00 |      1 |       0 |        0 |
|    RSR/USDT |      5 |           8.90 |          44.49 |            44.534 |           4.45 |  2 days, 23:00:00 |      5 |       0 |        0 |
|   RUNE/USDT |      6 |           2.83 |          16.99 |            17.003 |           1.70 |   3 days, 7:30:00 |      3 |       0 |        3 |
|    RVN/USDT |      7 |           1.16 |           8.13 |             8.141 |           0.81 |   6 days, 0:26:00 |      5 |       0 |        2 |
|   SAND/USDT |      6 |           2.38 |          14.27 |            14.284 |           1.43 |   3 days, 5:30:00 |      5 |       0 |        1 |
|     SC/USDT |      5 |           6.13 |          30.64 |            30.667 |           3.07 |   2 days, 8:12:00 |      4 |       0 |        1 |
|    SFP/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |      0 |       0 |        0 |
|    SKL/USDT |      3 |           9.99 |          29.97 |            30.000 |           3.00 |          16:20:00 |      3 |       0 |        0 |
|    SNX/USDT |      8 |          -3.70 |         -29.56 |           -29.594 |          -2.96 |   2 days, 4:22:00 |      4 |       0 |        4 |
|    SOL/USDT |      7 |          -2.03 |         -14.22 |           -14.229 |          -1.42 |  3 days, 13:09:00 |      4 |       0 |        3 |
|    SRM/USDT |      7 |           4.97 |          34.79 |            34.825 |           3.48 |   1 day, 23:51:00 |      6 |       0 |        1 |
|   STMX/USDT |      3 |           2.44 |           7.33 |             7.336 |           0.73 |  10 days, 3:20:00 |      1 |       0 |        2 |
|  STORJ/USDT |      2 |           4.91 |           9.81 |             9.825 |           0.98 |  3 days, 15:30:00 |      1 |       0 |        1 |
|   STPT/USDT |     10 |           3.83 |          38.29 |            38.325 |           3.83 |  3 days, 19:12:00 |      7 |       0 |        3 |
|  STRAX/USDT |      3 |           6.05 |          18.14 |            18.160 |           1.82 |  2 days, 18:20:00 |      2 |       0 |        1 |
|    STX/USDT |     13 |           5.14 |          66.79 |            66.857 |           6.69 |  2 days, 13:37:00 |     10 |       0 |        3 |
|    SUN/USDT |      8 |          -0.27 |          -2.18 |            -2.186 |          -0.22 |  2 days, 11:00:00 |      6 |       0 |        2 |
|  SUPER/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |              0:00 |      0 |       0 |        0 |
|   SUSD/USDT |      1 |           2.72 |           2.72 |             2.725 |           0.27 |  9 days, 11:00:00 |      1 |       0 |        0 |
|  SUSHI/USDT |      8 |           5.60 |          44.78 |            44.825 |           4.48 |          23:30:00 |      7 |       0 |        1 |
