Result for strategy AverageStrategy
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
| Worst Pair            | ONG/USDT -78.24%    |
| Best trade            | DATA/USDT 49.95%    |
| Worst trade           | MTL/USDT -20.16%    |
| Best day              | 450.000 USDT        |
| Worst day             | -191.018 USDT       |
| Days win/draw/lose    | 155 / 55 / 153      |
| Avg. Duration Winners | 5 days, 15:42:00    |
| Avg. Duration Loser   | 1 day, 14:51:00     |
|                       |                     |
| Min balance           | 742.514 USDT        |
| Max balance           | 6234.821 USDT       |
| Drawdown              | 894.58%             |
| Drawdown              | 895.473 USDT        |
| Drawdown high         | 1080.074 USDT       |
| Drawdown low          | 184.601 USDT        |
| Drawdown Start        | 2020-09-01 08:00:00 |
| Drawdown End          | 2020-11-09 16:00:00 |
| Market change         | 1189.08%            |
===============================================

